season,host_country,host_city,stadium_name,match_date,match_type,innings_number,batting_position,player_name,player_team,opposition_team,balls_faced,runs_scored,dismissal_type,strike_rate,0's,1's,2's,3's,4's,5's,6's,7's,total_team_score,match_winning_team,note
2025,India,Ahmedabad,"Narendra Modi Stadium, Motera, Ahmedabad",03-06-2025,Final,2,9,KA Jamieson,Punjab Kings,Royal Challengers Bengaluru,2,0,not out,0.0,2,0,0,0,0,0,0,0,184,Royal Challengers Bengaluru,
2025,India,Ahmedabad,"Narendra Modi Stadium, Motera, Ahmedabad",03-06-2025,Final,2,8,Azmatullah Omarzai,Punjab Kings,Royal Challengers Bengaluru,2,1,caught,50.0,1,1,0,0,0,0,0,0,184,Royal Challengers Bengaluru,
2025,India,Ahmedabad,"Narendra Modi Stadium, Motera, Ahmedabad",03-06-2025,Final,2,7,MP Stoinis,Punjab Kings,Royal Challengers Bengaluru,2,6,caught,300.0,1,0,0,0,0,0,1,0,184,Royal Challengers Bengaluru,
2025,India,Ahmedabad,"Narendra Modi Stadium, Motera, Ahmedabad",03-06-2025,Final,2,6,Shashank Singh,Punjab Kings,Royal Challengers Bengaluru,30,61,not out,203.33,10,9,2,0,3,0,6,0,184,Royal Challengers Bengaluru,
2025,India,Ahmedabad,"Narendra Modi Stadium, Motera, Ahmedabad",03-06-2025,Final,2,5,N Wadhera,Punjab Kings,Royal Challengers Bengaluru,18,15,caught,83.33,9,7,1,0,0,0,1,0,184,Royal Challengers Bengaluru,
2025,India,Ahmedabad,"Narendra Modi Stadium, Motera, Ahmedabad",03-06-2025,Final,2,4,SS Iyer,Punjab Kings,Royal Challengers Bengaluru,2,1,caught,50.0,1,1,0,0,0,0,0,0,184,Royal Challengers Bengaluru,
2025,India,Ahmedabad,"Narendra Modi Stadium, Motera, Ahmedabad",03-06-2025,Final,2,3,JP Inglis,Punjab Kings,Royal Challengers Bengaluru,23,39,caught,169.56,8,9,1,0,1,0,4,0,184,Royal Challengers Bengaluru,
2025,India,Ahmedabad,"Narendra Modi Stadium, Motera, Ahmedabad",03-06-2025,Final,2,2,Prabhsimran Singh,Punjab Kings,Royal Challengers Bengaluru,22,26,caught,118.18,7,12,1,0,0,0,2,0,184,Royal Challengers Bengaluru,
2025,India,Ahmedabad,"Narendra Modi Stadium, Motera, Ahmedabad",03-06-2025,Final,2,1,Priyansh Arya,Punjab Kings,Royal Challengers Bengaluru,19,24,caught,126.31,8,6,1,0,4,0,0,0,184,Royal Challengers Bengaluru,
2025,India,Ahmedabad,"Narendra Modi Stadium, Motera, Ahmedabad",03-06-2025,Final,1,10,Yash Dayal,Royal Challengers Bengaluru,Punjab Kings,1,1,not out,100.0,0,1,0,0,0,0,0,0,190,Royal Challengers Bengaluru,
