season,host_country,host_city,stadium_name,match_date,match_type,innings_number,bowling_position,player_name,player_team,opposition_team,balls_bowled,maidens,runs_conceded,dots,fours_conceded,sixes_conceded,wides,noballs,economy_rate,wickets_taken,total_wickets_taken_by_team,match_winning_team,note
2025,India,Ahmedabad,"Narendra Modi Stadium, Motera, Ahmedabad",03-06-2025,Final,2,6,R Shepherd,Royal Challengers Bengaluru,Punjab Kings,18,0,30,5,2,2,1,0,10.0,1,7,Royal Challengers Bengaluru,
2025,India,Ahmedabad,"Narendra Modi Stadium, Motera, Ahmedabad",03-06-2025,Final,2,5,Suyash Sharma,Royal Challengers Bengaluru,Punjab Kings,12,0,19,4,0,2,0,0,9.5,0,7,Royal Challengers Bengaluru,
2025,India,Ahmedabad,"Narendra Modi Stadium, Motera, Ahmedabad",03-06-2025,Final,2,4,KH Pandya,Royal Challengers Bengaluru,Punjab Kings,24,0,17,12,0,1,0,0,4.25,2,7,Royal Challengers Bengaluru,
2025,India,Ahmedabad,"Narendra Modi Stadium, Motera, Ahmedabad",03-06-2025,Final,2,3,JR Hazlewood,Royal Challengers Bengaluru,Punjab Kings,24,0,54,7,3,5,2,0,13.5,1,7,Royal Challengers Bengaluru,
2025,India,Ahmedabad,"Narendra Modi Stadium, Motera, Ahmedabad",03-06-2025,Final,2,2,Yash Dayal,Royal Challengers Bengaluru,Punjab Kings,18,0,18,10,1,1,0,0,6.0,1,7,Royal Challengers Bengaluru,
2025,India,Ahmedabad,"Narendra Modi Stadium, Motera, Ahmedabad",03-06-2025,Final,2,1,B Kumar,Royal Challengers Bengaluru,Punjab Kings,24,0,38,9,2,3,0,0,9.5,2,7,Royal Challengers Bengaluru,
2025,India,Ahmedabad,"Narendra Modi Stadium, Motera, Ahmedabad",03-06-2025,Final,1,5,YS Chahal,Punjab Kings,Royal Challengers Bengaluru,24,0,37,3,1,2,0,0,9.25,1,9,Royal Challengers Bengaluru,
2025,India,Ahmedabad,"Narendra Modi Stadium, Motera, Ahmedabad",03-06-2025,Final,1,4,V Vyshak,Punjab Kings,Royal Challengers Bengaluru,24,0,30,5,2,0,2,0,7.5,1,9,Royal Challengers Bengaluru,
2025,India,Ahmedabad,"Narendra Modi Stadium, Motera, Ahmedabad",03-06-2025,Final,1,3,Azmatullah Omarzai,Punjab Kings,Royal Challengers Bengaluru,24,0,35,3,2,1,2,0,8.75,1,9,Royal Challengers Bengaluru,
2025,India,Ahmedabad,"Narendra Modi Stadium, Motera, Ahmedabad",03-06-2025,Final,1,2,KA Jamieson,Punjab Kings,Royal Challengers Bengaluru,24,0,48,9,3,4,3,0,12.0,3,9,Royal Challengers Bengaluru,
2025,India,Ahmedabad,"Narendra Modi Stadium, Motera, Ahmedabad",03-06-2025,Final,1,1,Arshdeep Singh,Punjab Kings,Royal Challengers Bengaluru,24,0,40,8,3,2,2,0,10.0,3,9,Royal Challengers Bengaluru,
2025,India,Ahmedabad,"Narendra Modi Stadium, Motera, Ahmedabad",01-06-2025,Qualifier 2,2,6,HH Pandya,Mumbai Indians,Punjab Kings,12,0,19,4,2,1,0,0,9.5,1,5,Punjab Kings,
2025,India,Ahmedabad,"Narendra Modi Stadium, Motera, Ahmedabad",01-06-2025,Qualifier 2,2,5,MJ Santner,Mumbai Indians,Punjab Kings,12,0,15,1,1,0,0,0,7.5,0,5,Punjab Kings,
2025,India,Ahmedabad,"Narendra Modi Stadium, Motera, Ahmedabad",01-06-2025,Qualifier 2,2,4,Ashwani Kumar,Mumbai Indians,Punjab Kings,24,0,55,9,2,6,2,1,13.75,2,5,Punjab Kings,
